from,to ,death,team_1,team_2,motivation
prispem,m,0,0,0,0
offlot,m,0,0,0,0
m,heisee,1,3,0,0
m,wilule,1,7,0,0
m,kasneu,1,14,0,0
m,hanloh,1,7,0,0
o,ernsha,1,1,0,0
o,frawil,1,3,0,0
o,frawor,1,2,0,0
o,frahur,1,8,0,0
o,hubhud,1,15,0,0
o,liogre,1,4,0,0
o,tomcre,1,5,0,0
o,alfche,1,6,0,0
o,lewric,1,14,0,0
o,aleker,1,14,0,0
o,jammci,1,10,13,0
o,alemac,1,10,13,0
o,robcla,1,7,0,0
o,leohus,1,7,0,0
o,jamwor,1,7,0,0
o,regjam,1,7,0,0
o,geomar,1,8,0,0
o,thoord,1,12,0,0
o,harmcn,1,14,0,0
o,chagre,1,11,0,0
o,wilste,1,14,0,0
o,ernhol,1,14,0,0
o,johvin,1,12,0,0
o,timmcc,1,12,0,0
o,walhow,1,12,0,0
o,wilbak,1,12,0,0
o,thomcl,1,12,0,0
o,perbla,1,16,0,0
o,dangoo,1,13,0,0
brgov,o,0,0,0,1
rgs,o,0,0,0,2
duddoc,o,0,0,0,3
jastwi,o,0,0,0,3
jamcai,o,0,0,0,3
brgov,p,0,0,0,1
rgs,p,0,0,0,2
duddoc,p,0,0,0,3
jastwi,p,0,0,0,3
jamcai,p,0,0,0,3
ausgon,p,0,0,0,0
p,aenmac,2,1,0,0
p,ernjoy,1,13,0,0
p,ernwil,1,14,0,0
p,arnspe,2,8,0,0
p,johcop,1,10,7,0
p,aleste,1,7,0,0
p,ricric,1,7,0,0
p,andjac,1,7,0,0
p,irvgaz,1,12,0,0
p,vichay,2,12,0,0
p,aubnin,1,9,0,0
p,liohoo,1,15,0,0
p,josste,1,4,2,0
p,lestho,1,5,0,0
p,alflar,1,9,0,0
p,chadon,1,9,0,0
p,jampat,1,14,0,0
p,clamau,1,14,0,0
p,sydatk,1,12,0,0
p,artdow,1,12,0,0
p,wilkav,1,12,0,0
p,johwar,1,12,0,0
p,chagli,1,12,0,0
p,samgra,1,14,0,0
p,wilmug,1,14,0,0
p,harsha,1,14,0,0
p,edwwis,1,11,0,0
p,emiang,1,16,0,0
eridry,d,1,7,1,0
ernvan,d,1,7,3,0
hangaz,d,1,7,10,0
emiphi,d,1,7,0,0
fribid,d,1,7,0,0
emiwer,d,1,7,0,0
josenz,d,2,7,0,0
karluy,d,1,7,0,0
josurb,d,1,12,0,0
geowie,d,1,11,0,0
hanrus,d,1,2,0,0
albste,d,0,14,0,0
willer,d,0,4,0,0
ricvah,d,1,5,0,0
ludott,d,0,5,0,0
josmue,d,0,14,0,0
handah,d,0,14,0,0
augrei,d,0,14,0,0
wilhei,d,0,14,0,0
geonoa,d,0,12,7,0
maxfis,d,0,12,0,0
karklu,d,0,12,0,0
paubjo,d,0,15,0,0
danjoh,d,0,12,0,0
willys,d,0,12,0,0
lenreu,d,0,12,0,0
curstj,d,0,12,0,0
pauhei,d,0,9,0,0
reimar,d,0,9,0,0
emiber,d,0,14,0,0
karfra,d,0,14,0,0
reimic,d,0,14,0,0
leomue,d,0,14,0,0
wilsch,d,0,11,0,0
augbes,d,0,12,0,0
albpos,d,0,12,0,0
geremp,d,0,0,0,1
ottnor,e,1,7,1,2
carlar,e,1,2,0,0
olebjo,e,1,14,0,0
olewen,e,2,15,0,0
torgru,e,1,12,0,0
olejon,e,1,13,0,0
andkar,e,1,9,0,0
johand1,e,1,3,7,0
karand,e,1,13,7,0
axeand,e,0,11,0,0
goebod,e,1,7,0,0
samdus,e,1,15,0,0
erieke,e,1,10,0,0
axeohl,e,2,13,7,0
hhas,e,0,5,0,0
carskot,e,1,7,0,0
jossob,e,1,7,0,0
frasto,e,1,8,0,0
johait,e,0,12,0,0
frajen,e,0,12,0,0
wilhol,e,0,14,0,0
carjoh,e,0,14,0,0
axerein,e,0,6,0,0
gsch,e,0,12,0,0
hake,e,0,11,0,0
carsco,e,1,7,0,0
geokar,e,0,9,0,0
antula,e,0,12,0,0
oleola,e,0,12,0,0
oleduu,e,1,12,0,0
martof,e,0,12,0,0
wilbru,f,2,1,7,2
henand,f,1,12,0,0
robdav,f,1,5,15,0
davwil,f,1,13,7,0
robrud,f,1,7,0,0
jampir,f,1,7,10,0
robmos,f,1,7,0,0
alaros,f,1,7,13,0
thorob,f,1,2,0,0
aledun,f,1,14,0,0
johfit,f,1,6,4,0
edwflo,f,1,11,12,0
hengrav,f,1,9,0,0
andgri,f,1,12,0,0
carhay,f,1,9,0,0
gilker,f,1,12,0,0
davlow,f,1,14,0,0
johmac,f,1,12,0,0
thomac,f,1,12,0,0
robmac,f,1,12,0,0
jammac,f,1,12,0,0
wilmar,f,1,12,7,0
jamdou,f,1,6,12,0
wilmur,f,1,11,0,0
davpat,f,1,12,0,0
alaram,f,2,9,0,0
jamric,f,1,14,0,0
alerob,f,1,12,0,0
jamsmi,f,1,14,12,0
johsmi,f,1,12,0,0
wilsmi,f,1,12,0,0
alltho,f,1,4,0,0
johwal,f,1,12,14,0
robwil,f,1,14,0,0
wilcut,f,1,8,0,0
gusbah,d,1,14,0,0
frasta,i,0,0,0,1
hankam,i,0,0,0,3
jeacha,i,1,1,0,0
echo,i,1,2,0,0
ave,i,1,12,0,0
bes,i,1,14,0,0
bol,i,1,12,0,0
hbon,i,1,5,0,0
den,i,1,12,0,0
duf,i,1,12,0,0
fra,i,1,9,0,0
lgai,i,1,7,0,0
rgod,i,1,6,7,0
erngou,i,1,7,0,0
fgue,i,1,14,0,0
jgue,i,1,12,0,0
her,i,1,12,0,0
jjab,i,1,14,0,0
ler,i,1,12,0,0
lho,i,1,14,0,0
lib,i,1,14,0,0
jlio,i,1,10,7,0
mod,i,1,11,0,0
mon,i,1,14,0,0
noz,i,1,12,0,0
robpau,i,1,16,0,0
lpos,i,1,9,0,0
ros,i,1,9,0,0
julrou,i,1,6,7,0
asen,i,1,7,8,0
tho,i,1,12,0,0
van,i,1,16,0,0
brgov,l,0,0,0,1
prispel,l,0,0,0,2
kred,l,0,0,0,3
l,robsco,2,1,2,0
l,edwwil,2,7,0,0
l,henbow,2,12,0,0
l,lawoat,2,13,0,0
l,edgeva,2,12,9,0
l,edweva,1,5,0,0
l,willas,1,14,0,0
l,tomcre,1,12,0,0
l,edwatk,1,10,0,0
l,apsche,1,7,0,0
l,chawri,1,7,0,0
l,patkeo,1,12,0,0
l,cecmea,1,13,0,0
l,dmtgir,1,13,0,0
l,frehoo,1,16,12,0
l,berday,1,9,0,0
l,viccam,1,12,0,0
l,geolev,1,10,7,0
l,raypri,1,7,0,0
l,geoabb,1,12,0,0
l,frabro,1,12,0,0
l,hardic,1,12,0,0
l,edwnel,1,7,0,0
l,fradeb,1,7,0,0
l,trygra,1,12,0,0
l,geosim,1,7,0,0
l,thotay,1,7,0,0
l,herpon,1,8,0,0
l,robfor,1,12,0,0
l,thocli,1,11,0,0
l,antome,1,13,0,0
l,walarc,1,16,11,0
l,thowil,1,12,0,0
l,harpen,1,12,0,0
l,henren,1,12,0,0
l,wilbru1,1,12,7,0
l,fradra,1,12,7,0
l,denlil,1,7,0,0
l,jamden,1,13,0,0
l,alfche,1,12,0,0
l,wilwil,1,9,0,0
l,wilhor,1,9,0,0
l,fradav,1,14,0,0
l,frepar,1,12,0,0
l,wilhea,,12,0,0
l,artbai,1,12,0,0
l,albbal,1,12,0,0
l,joslee,1,12,0,0
l,johmat,1,12,0,0
l,roboli,1,12,0,0
l,thomcl,1,12,0,0
l,mormcc,1,12,0,0
l,wilkno,1,12,0,0
l,chawil,1,12,0,0
l,jamske,1,12,0,0
